Function Type,Function Sub-Type,Function Name,Input 1,Input 2,Input 3,Input 4,# Inputs,Description,Units Input,Units Output
STANDARD ATMOSPHERE,THETA,AeroTheta_fOatKelvin,oatKelvin,,,,1,"Temperature ratio, theta, T/To, f(OAT in Kelvin)",K,NA
STANDARD ATMOSPHERE,THETA,AeroTheta_fOatRankine,oatRankine,,,,1,"Temperature ratio, theta, T/To, f(OAT in Rankine)",R,NA
STANDARD ATMOSPHERE,THETA,AeroThetaStdDay_fHp,hp,,,,1,"Temperature ratio, theta, T/To (standard day only), f(Hp)",feet,NA
TURNS,BANK ANGLE,AeroTurnBank_deg_fNz,nz,,,,1,"Bank Angle in Coordinated Turn in deg, f(Load Factor Nz)",NA,
TURNS,BANK ANGLE,AeroTurnBank_deg_fRadiusKtas,radius, ktas,,,2,"Bank Angle in Coordinated Turn in deg, f(Turn Radius in ft, KTAS)",feet,KTAS
TURNS,BANK ANGLE,AeroTurnBank_deg_fTurnRateDegPerSecKtas,turnRateDegPerSec, ktas,,,2,"Bank Angle in Coordinated Turn in deg, f(Turn Rate in deg/sec, KTAS)",deg/sec,KTAS
TURNS,NZ,AeroTurnNz_fBankDeg,deg,,,,1,"Load Factor Nz in Coordinated Turn, f(Bank Angle in deg)",degrees,
TURNS,NZ,AeroTurnNz_fRadiusFtKtas,radius, ktas,,,2,"Load Factor Nz in Coordinated Turn, f(Turn Radius in ft, KTAS)",ft,KTAS
TURNS,NZ,AeroTurnNz_fTurnRateDegPerSecKtas,turnRateDegPerSec, ktas,,,2,"Load Factor Nz in Coordinated Turn, f(Turn Rate in deg/sec, KTAS)",deg/sec,KTAS
TURNS,RADIUS,AeroTurnRadius_ft_fBankDegKtas,bankDeg, ktas,,,2,"Radius in Coordinated Turn in ft, f(Bank Angle in deg, KTAS)",degrees,KTAS
TURNS,RADIUS,AeroTurnRadius_ft_fNzKtas,nz, ktas,,,2,"Radius in Coordinated Turn in ft, f(Load Factor Nz, KTAS)",NA,KTAS
TURNS,RADIUS,AeroTurnRadius_ft_fTurnRateDegPerSecKtas,turnRateDegPerSec, ktas,,,2,"Radius in Coordinated Turn in ft, f(Turn Rate in deg/sec, KTAS)",deg/sec,KTAS
TURNS,RATE,AeroTurnRate_degPerSec_fBankDegKtas,bankDeg, ktas,,,2,"Angular Rate in Coordinated Turn in deg/sec, f(Bank Angle in deg, KTAS)",degrees,KTAS
TURNS,RATE,AeroTurnRate_degPerSec_fNzKtas,nz, ktas,,,2,"Angular Rate in Coordinated Turn in deg/sec, f(Load Factor Nz, KTAS)",NA,KTAS
TURNS,RATE,AeroTurnRate_degPerSec_fRadiusFtKtas,radiusFt, ktas,,,2,"Angular Rate in Coordinated Turn in deg/sec, f(Turn Radius in ft, KTAS)",feet,KTAS
VISCOSITY,DYNAMIC VISCOSITY (µ),AeroViscDyn_kgPerMeterSec_fTheta,theta,,,,1,"Dynamic viscosity in kg/(meter-sec), f(theta)",NA,kg/(meter-sec)
VISCOSITY,DYNAMIC VISCOSITY (µ),AeroViscDyn_SlugPerFtSec_fTheta,theta,,,,1,"Dynamic viscosity in slug/(ft-sec), f(theta)",NA,slug/(ft-sec)
VISCOSITY,KINEMATIC VISCOSITY (ν),AeroViscKin_ft2PerSec_fSigmaTheta,sigma, theta,,,2,"Kinematic viscosity in sq.meter/sec, f(sigma, theta)","NA, NA",sq.meter/sec
VISCOSITY,KINEMATIC VISCOSITY (ν),AeroViscKin_meter2PerSec_fSigmaTheta,sigma, theta,,,2,"Kinematic viscosity in sq.ft/sec, f(sigma, theta)","NA, NA",sq.ft/sec
WINDS,CROSSWIND,AeroWndCross_fAcHdgWndHdgWndSpd,acHdg, wndHdg, wndSpd,,3,"Crosswind (input units), f(A/C heading in deg, Wind heading in deg, Wind Speed)","deg, deg, (user selection/arbitrary)",(user selection/arbitrary)
WINDS,HEADWIND,AeroWndHead_fAcHdgWndHdgWndSpd,acHdg, wndHdg, wndSpd,,3,"Headwind (input units), f(A/C heading in deg, Wind heading in deg, Wind Speed)","deg, deg, (user selection/arbitrary)",(user selection/arbitrary)
